group0,group1,group2,marka,model,catalog_number,reason
ходовая часть,ленивец,,john deere,210G,,Not found on Avito
ходовая часть,ленивец,,sdlg,E6150F,,Not found on Avito
гидравлический компонент,редуктор,редуктор поворота,cat,318,152-7372,Not found on Avito
гидравлический компонент,редуктор,редуктор хода,john deere,,,Not found on Avito
гидравлический компонент,редуктор,редуктор хода,hyundai,R160LC-7,,Not found on Avito
рабочее оборудование,ковшевой узел,коронка,doosan,,,Not found on Avito
гидравлический компонент,гидроцилиндр,гидроцилиндр ковша,sdlg,E6210FLC,,Not found on Avito
гидравлический компонент,гидромотор,!,hyundai,R210,,Not found on Avito
рабочее оборудование,пальцы и втулки,пальцы,hyundai,,,Not found on Avito
гидравлический компонент,редуктор,редуктор хода,john deere,,,Not found on Avito
рабочее оборудование,пальцы и втулки,!,zoomlion,,,Not found on Avito
гидравлический компонент,редуктор,редуктор хода,sany,,,Not found on Avito
комплектующие рамы,зеркало,,hyundai,R260LC-9S,,Not found on Avito
рабочее оборудование,пальцы и втулки,пальцы,doosan,DX300LC-A,,Not found on Avito
гидравлический компонент,редуктор,редуктор хода,john deere,,,Not found on Avito
ходовая часть,каток опорный,,zoomlion,,,Not found on Avito
ходовая часть,звено,,doosan,,,Not found on Avito
гидравлический компонент,гидромотор,гидромотор хода,hyundai,,31n5-43000,Not found on Avito
запчасти двигателя,фильтра,!,sdlg,E6210FLC,,Not found on Avito
электрическая система,жгут проводов,проводка двигателя,volvo,EC210,,Not found on Avito
гидравлический компонент,редуктор,редуктор хода,xcmg,XE210D,,Not found on Avito
электрическая система,контроллер,,hyundai,,21n6-42101,Not found on Avito
гидравлический компонент,гидрораспределитель,,jcb,JS 220,,Not found on Avito
комплектующие рамы,круг,,doosan,DX340LC-3,,Not found on Avito
гидравлический компонент,гидроцилиндр,гидроцилиндр рукояти,new holland,,,Not found on Avito
рабочее оборудование,пальцы и втулки,пальцы,sdlg,E6300F,,Not found on Avito
гидравлический компонент,гидромотор,гидромотор поворота,hitachi,ZX120,,Not found on Avito
ходовая часть,звено,,komatsu,PC220-8,,Not found on Avito
запчасти двигателя,фильтра,!,hitachi,ZX180,,Not found on Avito
трансмиссия,кулак,,jcb,JS 200,,Not found on Avito
